Alloy ID,Alloy,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,Re,N,Sc,Li,Sn,Be,Num_of_Elem,dHmix,dSmix,dGmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Sythesis_Route,Microstructure_,Microstructure,Phases,References
Alloy 0018,AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-13.6,13.38,555.5965658,2140.09,4.87,0.23,4.8,AC,FCC,FCC,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0019,AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-13.6,13.38,555.5965658,2140.09,4.87,0.23,4.8,AC,FCC,FCC,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0020,AlCrMoNbTi,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-13.6,13.38,555.5965658,2140.09,4.87,0.23,4.8,AC,FCC,FCC,FCC_SS,10.1016/j.jallcom.2015.11.050
Alloy 0021,AlMoNbTiV,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-11.04,13.38161053,477.7526215,1840.253545,3.796497761,0.227982455,4.6,AC,BCC,BCC,BCC_SS,10.3390/e16020870
Alloy 0022,MoTaTiV,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,4,-2.75,11.52629192,598.9681468,2290.75,4.086753027,0.265459507,5,AC,BCC,BCC,BCC_SS,10.4028/www.scientific.net/MSF.898.638
Alloy 0023,AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0,0,0,0,0,0,0.3,0,0.3,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,5,-15.12,12.51,556.3368171,2135.79,3.07,0.08,4.2,AC,BCC,BCC,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0024,AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0,0,0,0,0,0,0.3,0,0.3,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,5,-15.12,12.51,556.3368171,2135.79,3.07,0.08,4.2,AC,BCC,BCC,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0025,AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0,0,0,0,0,0,0.3,0,0.3,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,5,-15.12,12.51,556.3368171,2135.79,3.07,0.08,4.2,AC,BCC,BCC,BCC_SS,10.1007/s11837-014-1066-0
Alloy 0026,AlNbTaTiV,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,5,-13.44,13.38,576.2105538,2219.49,3.16,0.05,4.4,AC,BCC,BCC,BCC_SS,10.1016/j.proeng.2012.03.043
Alloy 0027,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0,0,0,0,0,0,0,0.177644711,0,0.30738523,0,0.127744511,0.079840319,0.30738523,0,0,0,0,0,0,0,0,0,0,0,5,0.871231589,12.44557018,641.3159738,2461.347915,4.416208731,0.101210115,4.614770459,AC,BCC,BCC,BCC_SS,10.1080/14786435.2015.1028506
Alloy 0028,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0,0,0,0,0,0,0,0.177644711,0,0.30738523,0,0.127744511,0.079840319,0.30738523,0,0,0,0,0,0,0,0,0,0,0,5,0.871231589,12.44557018,641.3159738,2461.347915,4.416208731,0.101210115,4.614770459,AC,BCC,BCC,BCC_SS,10.1080/14786435.2015.1028506
Alloy 0029,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0,0,0,0,0,0,0,0.177644711,0,0.30738523,0,0.127744511,0.079840319,0.30738523,0,0,0,0,0,0,0,0,0,0,0,5,0.871231589,12.44557018,641.3159738,2461.347915,4.416208731,0.101210115,4.614770459,AC,BCC,BCC,BCC_SS,10.1080/14786435.2015.1028506
Alloy 0030,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0,0,0,0,0,0,0,0.177644711,0,0.30738523,0,0.127744511,0.079840319,0.30738523,0,0,0,0,0,0,0,0,0,0,0,5,0.871231589,12.44557018,641.3159738,2461.347915,4.416208731,0.101210115,4.614770459,AC,BCC,BCC,BCC_SS,10.1080/14786435.2015.1028506
Alloy 0031,Hf0.5Mo0.5NbTiZr,0,0,0,0,0,0,0,0.25,0,0.25,0.125,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.25,12.96707842,546.8122337,2102.85867,5.730437906,0.258988417,4.5,AC,BCC,BCC,BCC_SS,10.1016/j.intermet.2015.09.011
Alloy 0032,Hf0.5Mo0.5NbTiZr,0,0,0,0,0,0,0,0.25,0,0.25,0.125,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.25,12.96707842,546.8122337,2102.85867,5.730437906,0.258988417,4.5,AC,BCC,BCC,BCC_SS,10.1016/j.jallcom.2015.11.091
Alloy 0033,Hf0.5Nb0.5Ta0.5Ti1.5Zr,0,0,0,0,0,0,0,0.375,0,0.125,0,0.25,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,5,2.72,13.38161053,592.5022515,2282.194003,4.99441746,0.118253964,4.4,AC,BCC,BCC,BCC_SS,10.1063/1.4966659
Alloy 0034,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0035,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0036,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0037,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0038,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0039,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0040,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0041,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0042,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,0.375,0,0,0,0.3125,0.1875,0.125,0,0,0,0,0,0,0,0,0,0,0,4,2.36,12.84151644,557.1020651,2141.385887,4.915964063,0.118594899,4.3,AC,BCC,BCC,BCC_SS,10.1016/j.msea.2017.10.073
